participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
01	sub-01	01	fmriprep	23.2.0	default	ses-01	FAIL
01	sub-01	01	mriqc	23.0.1	default	ses-01	SUCCESS
01	sub-01	02	fmriprep	23.2.0	default	ses-02	FAIL
01	sub-01	02	mriqc	23.0.1	default	ses-02	SUCCESS
02	sub-02	01	fmriprep	23.2.0	default	ses-01	FAIL
02	sub-02	01	mriqc	23.0.1	default	ses-01	SUCCESS
02	sub-02	02	fmriprep	23.2.0	default	ses-02	FAIL
02	sub-02	02	mriqc	23.0.1	default	ses-02	SUCCESS
03	sub-03	01	fmriprep	23.2.0	default	ses-01	FAIL
03	sub-03	01	mriqc	23.0.1	default	ses-01	SUCCESS
03	sub-03	02	fmriprep	23.2.0	default	ses-02	FAIL
03	sub-03	02	mriqc	23.0.1	default	ses-02	SUCCESS
04	sub-04	01	fmriprep	23.2.0	default	ses-01	FAIL
04	sub-04	01	mriqc	23.0.1	default	ses-01	SUCCESS
04	sub-04	02	fmriprep	23.2.0	default	ses-02	FAIL
04	sub-04	02	mriqc	23.0.1	default	ses-02	SUCCESS
05	sub-05	01	fmriprep	23.2.0	default	ses-01	FAIL
05	sub-05	01	mriqc	23.0.1	default	ses-01	SUCCESS
05	sub-05	02	fmriprep	23.2.0	default	ses-02	FAIL
05	sub-05	02	mriqc	23.0.1	default	ses-02	SUCCESS
06	sub-06	01	fmriprep	23.2.0	default	ses-01	FAIL
06	sub-06	01	mriqc	23.0.1	default	ses-01	SUCCESS
06	sub-06	02	fmriprep	23.2.0	default	ses-02	FAIL
06	sub-06	02	mriqc	23.0.1	default	ses-02	SUCCESS
07	sub-07	01	fmriprep	23.2.0	default	ses-01	FAIL
07	sub-07	01	mriqc	23.0.1	default	ses-01	SUCCESS
07	sub-07	02	fmriprep	23.2.0	default	ses-02	FAIL
07	sub-07	02	mriqc	23.0.1	default	ses-02	SUCCESS
08	sub-08	01	fmriprep	23.2.0	default	ses-01	FAIL
08	sub-08	01	mriqc	23.0.1	default	ses-01	SUCCESS
08	sub-08	02	fmriprep	23.2.0	default	ses-02	FAIL
08	sub-08	02	mriqc	23.0.1	default	ses-02	SUCCESS
09	sub-09	01	fmriprep	23.2.0	default	ses-01	FAIL
09	sub-09	01	mriqc	23.0.1	default	ses-01	SUCCESS
09	sub-09	02	fmriprep	23.2.0	default	ses-02	FAIL
09	sub-09	02	mriqc	23.0.1	default	ses-02	SUCCESS
10	sub-10	01	fmriprep	23.2.0	default	ses-01	FAIL
10	sub-10	01	mriqc	23.0.1	default	ses-01	SUCCESS
10	sub-10	02	fmriprep	23.2.0	default	ses-02	FAIL
10	sub-10	02	mriqc	23.0.1	default	ses-02	SUCCESS
11	sub-11	01	fmriprep	23.2.0	default	ses-01	FAIL
11	sub-11	01	mriqc	23.0.1	default	ses-01	SUCCESS
11	sub-11	02	fmriprep	23.2.0	default	ses-02	FAIL
11	sub-11	02	mriqc	23.0.1	default	ses-02	SUCCESS
12	sub-12	01	fmriprep	23.2.0	default	ses-01	FAIL
12	sub-12	01	mriqc	23.0.1	default	ses-01	SUCCESS
12	sub-12	02	fmriprep	23.2.0	default	ses-02	FAIL
12	sub-12	02	mriqc	23.0.1	default	ses-02	SUCCESS
13	sub-13	01	fmriprep	23.2.0	default	ses-01	FAIL
13	sub-13	01	mriqc	23.0.1	default	ses-01	SUCCESS
13	sub-13	02	fmriprep	23.2.0	default	ses-02	FAIL
13	sub-13	02	mriqc	23.0.1	default	ses-02	SUCCESS
14	sub-14	01	fmriprep	23.2.0	default	ses-01	FAIL
14	sub-14	01	mriqc	23.0.1	default	ses-01	SUCCESS
14	sub-14	02	fmriprep	23.2.0	default	ses-02	FAIL
14	sub-14	02	mriqc	23.0.1	default	ses-02	SUCCESS
15	sub-15	01	fmriprep	23.2.0	default	ses-01	FAIL
15	sub-15	01	mriqc	23.0.1	default	ses-01	SUCCESS
15	sub-15	02	fmriprep	23.2.0	default	ses-02	FAIL
15	sub-15	02	mriqc	23.0.1	default	ses-02	SUCCESS
16	sub-16	01	fmriprep	23.2.0	default	ses-01	FAIL
16	sub-16	01	mriqc	23.0.1	default	ses-01	SUCCESS
16	sub-16	02	fmriprep	23.2.0	default	ses-02	FAIL
16	sub-16	02	mriqc	23.0.1	default	ses-02	SUCCESS
17	sub-17	01	fmriprep	23.2.0	default	ses-01	FAIL
17	sub-17	01	mriqc	23.0.1	default	ses-01	SUCCESS
17	sub-17	02	fmriprep	23.2.0	default	ses-02	FAIL
17	sub-17	02	mriqc	23.0.1	default	ses-02	SUCCESS
18	sub-18	01	fmriprep	23.2.0	default	ses-01	FAIL
18	sub-18	01	mriqc	23.0.1	default	ses-01	SUCCESS
18	sub-18	02	fmriprep	23.2.0	default	ses-02	FAIL
18	sub-18	02	mriqc	23.0.1	default	ses-02	SUCCESS
19	sub-19	01	fmriprep	23.2.0	default	ses-01	FAIL
19	sub-19	01	mriqc	23.0.1	default	ses-01	SUCCESS
19	sub-19	02	fmriprep	23.2.0	default	ses-02	FAIL
19	sub-19	02	mriqc	23.0.1	default	ses-02	SUCCESS
20	sub-20	01	fmriprep	23.2.0	default	ses-01	FAIL
20	sub-20	01	mriqc	23.0.1	default	ses-01	SUCCESS
20	sub-20	02	fmriprep	23.2.0	default	ses-02	FAIL
20	sub-20	02	mriqc	23.0.1	default	ses-02	SUCCESS
21	sub-21	01	fmriprep	23.2.0	default	ses-01	FAIL
21	sub-21	01	mriqc	23.0.1	default	ses-01	SUCCESS
21	sub-21	02	fmriprep	23.2.0	default	ses-02	FAIL
21	sub-21	02	mriqc	23.0.1	default	ses-02	SUCCESS
22	sub-22	01	fmriprep	23.2.0	default	ses-01	FAIL
22	sub-22	01	mriqc	23.0.1	default	ses-01	SUCCESS
22	sub-22	02	fmriprep	23.2.0	default	ses-02	FAIL
22	sub-22	02	mriqc	23.0.1	default	ses-02	SUCCESS
23	sub-23	01	fmriprep	23.2.0	default	ses-01	FAIL
23	sub-23	01	mriqc	23.0.1	default	ses-01	SUCCESS
23	sub-23	02	fmriprep	23.2.0	default	ses-02	FAIL
23	sub-23	02	mriqc	23.0.1	default	ses-02	SUCCESS
24	sub-24	01	fmriprep	23.2.0	default	ses-01	FAIL
24	sub-24	01	mriqc	23.0.1	default	ses-01	SUCCESS
24	sub-24	02	fmriprep	23.2.0	default	ses-02	FAIL
24	sub-24	02	mriqc	23.0.1	default	ses-02	SUCCESS
25	sub-25	01	fmriprep	23.2.0	default	ses-01	FAIL
25	sub-25	01	mriqc	23.0.1	default	ses-01	SUCCESS
25	sub-25	02	fmriprep	23.2.0	default	ses-02	FAIL
25	sub-25	02	mriqc	23.0.1	default	ses-02	SUCCESS
26	sub-26	01	fmriprep	23.2.0	default	ses-01	FAIL
26	sub-26	01	mriqc	23.0.1	default	ses-01	SUCCESS
26	sub-26	02	fmriprep	23.2.0	default	ses-02	FAIL
26	sub-26	02	mriqc	23.0.1	default	ses-02	SUCCESS
27	sub-27	01	fmriprep	23.2.0	default	ses-01	FAIL
27	sub-27	01	mriqc	23.0.1	default	ses-01	SUCCESS
27	sub-27	02	fmriprep	23.2.0	default	ses-02	FAIL
27	sub-27	02	mriqc	23.0.1	default	ses-02	SUCCESS
28	sub-28	01	fmriprep	23.2.0	default	ses-01	FAIL
28	sub-28	01	mriqc	23.0.1	default	ses-01	SUCCESS
28	sub-28	02	fmriprep	23.2.0	default	ses-02	FAIL
28	sub-28	02	mriqc	23.0.1	default	ses-02	SUCCESS
29	sub-29	01	fmriprep	23.2.0	default	ses-01	FAIL
29	sub-29	01	mriqc	23.0.1	default	ses-01	SUCCESS
29	sub-29	02	fmriprep	23.2.0	default	ses-02	FAIL
29	sub-29	02	mriqc	23.0.1	default	ses-02	SUCCESS
